Find the movies released before January 1st, 2000?
select M.name,M.year,R.date from movies M join released R on M.movie_id=R.movie_id where R.date<2000-01-01;
                                   name                                   | year |    date    
 Table for Five                                                           | 1983 | 1983-03-10
 All I Want for Christmas                                                 | 1991 | 1991-11-08
 Fire in the Sky                                                          | 1993 | 1993-03-12
 D3: The Mighty Ducks                                                     | 1996 | 1996-10-04
 Johnny Mnemonic                                                          | 1995 | 1995-05-26
 Extremities                                                              | 1986 | 1986-08-22
 Triumph of the Spirit                                                    | 1989 | 1989-12-23
 Talent for the Game                                                      | 1991 | 1991-06-28
 Caught                                                                   | 1996 | 1996-01-24
 Independence Day                                                         | 1983 | 1983-09-09
 F/X                                                                      | 1986 | 1986-02-07
 Touch and Go                                                             | 1986 | 1986-08-22
 School Ties                                                              | 1992 | 1992-09-18
 The Substitute                                                           | 1996 | 1996-04-19
 Kiss Me Goodbye                                                          | 1982 | 1982-12-22
 The Man in the Moon                                                      | 1991 | 1991-10-04
 Best of the Best                                                         | 1989 | 1989-11-10
 Best of the Best II                                                      | 1993 | 1993-03-05
 Ordinary People                                                          | 1980 | 1980-09-19
 The Milagro Beanfield War                                                | 1988 | 1988-03-18
 A River Runs Through It                                                  | 1992 | 1992-10-30
 Quiz Show                                                                | 1994 | 1994-10-07
 The Horse Whisperer                                                      | 1998 | 1998-05-15
 The First Power                                                          | 1990 | 1990-04-06
 El Mariachi                                                              | 1992 | 1993-02-26
 Desperado                                                                | 1995 | 1995-08-25
 From Dusk Till Dawn                                                      | 1996 | 1996-01-19
 The Faculty                                                              | 1998 | 1998-12-25
 Book of Love                                                             | 1990 | 1991-02-01
 Heidi's Song                                                             | 1982 | 1982-11-19
 Personal Best                                                            | 1982 | 1982-06-26
 Tequila Sunrise                                                          | 1988 | 1988-12-02
 Without Limits                                                           | 1998 | 1998-09-11
 Hollywood Shuffle                                                        | 1987 | 1987-03-20
 The Five Heartbeats                                                      | 1991 | 1991-03-29
 The Meteor Man                                                           | 1993 | 1993-08-06
 B*A*P*S                                                                  | 1997 | 1997-03-28
 Angel                                                                    | 1983 | 1984-01-13
 Avenging Angel                                                           | 1985 | 1985-01-11
 Rooftops                                                                 | 1989 | 1989-03-17
 Splitting Heirs                                                          | 1993 | 1993-04-30
 Romancing the Stone                                                      | 1984 | 1984-03-30
 Back to the Future                                                       | 1985 | 1985-07-03
 Who Framed Roger Rabbit                                                  | 1988 | 1988-06-22
 Back to the Future Part II                                               | 1989 | 1989-11-22
 Back to the Future Part III                                              | 1990 | 1990-05-25
 Death Becomes Her                                                        | 1992 | 1992-07-31
 Forrest Gump                                                             | 1994 | 1994-07-06
 Contact                                                                  | 1997 | 1997-07-11
 Johnny Stecchino                                                         | 1991 | 1991-10-24
 Life Is Beautiful                                                        | 1997 | 1997-12-20
 Lovelines                                                                | 1984 | 1984-11-02
 The Garbage Pail Kids Movie                                              | 1987 | 1987-08-22
 Teen Wolf                                                                | 1985 | 1985-08-23
 Like Father Like Son                                                     | 1987 | 1987-10-02
 K-9                                                                      | 1989 | 1989-04-28
 The Super                                                                | 1991 | 1991-10-04
 Beethoven's 2nd                                                          | 1993 | 1993-12-17
 The Unborn                                                               | 1991 | 1991-03-29
 Leprechaun 2                                                             | 1994 | 1994-04-08
 Idle Hands                                                               | 1999 | 1999-04-30
 Little Men                                                               | 1998 | 1998-05-08
 For a Lost Soldier                                                       | 1992 | 1993-05-07
 The Lion King                                                            | 1994 | 1994-06-24
 Killing Zoe                                                              | 1993 | 1994-09-01
 The Sender                                                               | 1982 | 1982-10-22
 Masterminds                                                              | 1997 | 1997-08-22
 Roger Corman's Frankenstein Unbound                                      | 1990 | 1990-11-02
 The Bounty                                                               | 1984 | 1984-05-04
 Marie                                                                    | 1985 | 1985-09-27
 No Way Out                                                               | 1987 | 1987-08-14
 Cocktail                                                                 | 1988 | 1988-07-29
 Cadillac Man                                                             | 1990 | 1990-05-18
 White Sands                                                              | 1992 | 1992-04-24
 The Getaway                                                              | 1994 | 1994-02-11
 Species                                                                  | 1995 | 1995-07-07
 Dante's Peak                                                             | 1997 | 1997-02-07
 Cruel Intentions                                                         | 1999 | 1999-03-05
 My Man Adam                                                              | 1985 | 1985-10-25
 Notting Hill                                                             | 1999 | 1999-05-28
 The Pursuit of D.B. Cooper                                               | 1981 | 1981-11-13
 Under Fire                                                               | 1983 | 1983-10-21
 The Best of Times                                                        | 1986 | 1986-01-31
 Shoot to Kill                                                            | 1988 | 1988-02-12
 Turner & Hooch                                                           | 1989 | 1989-07-28
 Air America                                                              | 1990 | 1990-08-10
 Stop! Or My Mom Will Shoot                                               | 1992 | 1992-02-21
 Tomorrow Never Dies                                                      | 1997 | 1997-12-19
 And God Created Woman                                                    | 1988 | 1988-03-04
 Lassiter                                                                 | 1984 | 1984-02-17
 The Squeeze                                                              | 1987 | 1987-07-10
 Universal Soldier                                                        | 1992 | 1992-07-10
 Stargate                                                                 | 1994 | 1994-10-28
 Independence Day                                                         | 1996 | 1996-07-03
 Godzilla                                                                 | 1998 | 1998-05-20
 The Killing Fields                                                       | 1984 | 1985-02-01
 The Mission                                                              | 1986 | 1986-10-31
 Fat Man and Little Boy                                                   | 1989 | 1989-10-20
 City of Joy                                                              | 1992 | 1992-04-17
 The Scarlet Letter                                                       | 1995 | 1995-10-13
 White Star                                                               | 1983 | 1985-03-08
 The Piano Player                                                         | 1999 | 1999-10-21
 Pirates                                                                  | 1986 | 1986-07-18
 Frantic                                                                  | 1988 | 1988-02-26
 Bitter Moon                                                              | 1992 | 1994-03-18
 Death and the Maiden                                                     | 1994 | 1995-01-27
 The Little Mermaid                                                       | 1989 | 1989-11-17
 Aladdin                                                                  | 1992 | 1992-11-25
 Hercules                                                                 | 1997 | 1997-06-27
 Night Shift                                                              | 1982 | 1982-07-30
 Splash                                                                   | 1984 | 1984-03-09
 Cocoon                                                                   | 1985 | 1985-06-21
 Gung Ho                                                                  | 1986 | 1986-03-14
 Willow                                                                   | 1988 | 1988-05-20
 Parenthood                                                               | 1989 | 1989-08-02
 Backdraft                                                                | 1991 | 1991-05-24
 Far and Away                                                             | 1992 | 1992-05-22
 The Paper                                                                | 1994 | 1994-03-25
 Apollo 13                                                                | 1995 | 1995-06-30
 Ransom                                                                   | 1996 | 1996-11-08
 Edtv                                                                     | 1999 | 1999-03-26
 Little Darlings                                                          | 1980 | 1980-03-21
 The Night the Lights Went Out in Georgia                                 | 1981 | 1981-06-05
 Gettysburg                                                               | 1993 | 1993-10-08
 Bull Durham                                                              | 1988 | 1988-06-15
 Blaze                                                                    | 1989 | 1989-12-13
 White Men Can't Jump                                                     | 1992 | 1992-03-27
 Cobb                                                                     | 1994 | 1994-12-02
 Tin Cup                                                                  | 1996 | 1996-08-16
 Tremors                                                                  | 1990 | 1990-01-19
 City Slickers                                                            | 1991 | 1991-06-07
 Heart and Souls                                                          | 1993 | 1993-08-13
 Mighty Joe Young                                                         | 1998 | 1998-12-25
 Warriors of Virtue                                                       | 1997 | 1997-05-02
 Bride of Chucky                                                          | 1998 | 1998-10-16
 Sleep with Me                                                            | 1994 | 1994-11-02
 Jack's Back                                                              | 1988 | 1988-05-06
 Road House                                                               | 1989 | 1989-05-19
 Gladiator                                                                | 1992 | 1992-03-06
 Striking Distance                                                        | 1993 | 1993-09-17
 Winter Flight                                                            | 1984 | 1986-02-14
 Mr. Love                                                                 | 1985 | 1986-04-25
 Transylvania 6-5000                                                      | 1985 | 1985-11-08
 Cut and Run                                                              | 1984 | 1986-05-02
 The Barbarians                                                           | 1987 | 1987-03-20
 Blank Check                                                              | 1994 | 1994-02-11
 Stigmata                                                                 | 1999 | 1999-09-10
 Razorback                                                                | 1984 | 1984-11-16
 Highlander                                                               | 1986 | 1986-03-07
 Highlander II: The Quickening                                            | 1991 | 1991-11-01
 Ricochet                                                                 | 1991 | 1991-10-04
 The Real McCoy                                                           | 1993 | 1993-09-10
 The Shadow                                                               | 1994 | 1994-07-01
 Fear of a Black Hat                                                      | 1993 | 1994-06-03
 Tales from the Hood                                                      | 1995 | 1995-05-24
 Tokyo Decadence                                                          | 1992 | 1993-04-30
 Slumber Party Massacre III                                               | 1990 | 1990-09-07
 Orlando                                                                  | 1992 | 1993-06-09
 Revenge of the Ninja                                                     | 1983 | 1983-09-16
 Breakin' 2: Electric Boogaloo                                            | 1984 | 1984-12-21
 Ninja III: The Domination                                                | 1984 | 1984-09-14
 American Warrior                                                         | 1985 | 1985-08-30
 Avenging Force                                                           | 1986 | 1986-09-12
 American Ninja 2: The Confrontation                                      | 1987 | 1987-05-01
 American Beauty                                                          | 1999 | 1999-10-01
 The Osterman Weekend                                                     | 1983 | 1983-11-04
 Free Willy 3: The Rescue                                                 | 1997 | 1997-08-08
 The Evil Dead                                                            | 1981 | 1983-04-15
 Crimewave                                                                | 1985 | 1986-04-25
 Evil Dead II                                                             | 1987 | 1987-03-13
 Darkman                                                                  | 1990 | 1990-08-24
 Army of Darkness                                                         | 1992 | 1993-02-19
 The Quick and the Dead                                                   | 1995 | 1995-02-10
 A Simple Plan                                                            | 1998 | 1999-01-22
 For Love of the Game                                                     | 1999 | 1999-09-17
 Silent Tongue                                                            | 1993 | 1995-01-27
 D2: The Mighty Ducks                                                     | 1994 | 1994-03-25
 Bye Bye Love                                                             | 1995 | 1995-03-17
 George of the Jungle                                                     | 1997 | 1997-07-16
 The Out-of-Towners                                                       | 1999 | 1999-04-02
 Mr. Nice Guy                                                             | 1997 | 1998-03-20
 3 Ninjas: Knuckle Up                                                     | 1993 | 1995-04-07
 Strike!                                                                  | 1998 | 1998-09-04
 Perfect Blue                                                             | 1997 | 1998-02-28
 Better Off Dead...                                                       | 1985 | 1985-10-11
 One Crazy Summer                                                         | 1986 | 1986-08-08
 How I Got Into College                                                   | 1989 | 1989-05-19
 Shine                                                                    | 1996 | 1997-02-14
 The Basketball Diaries                                                   | 1995 | 1995-04-21
 Suture                                                                   | 1993 | 1994-08-24
 The Mod Squad                                                            | 1999 | 1999-03-26
 Bent                                                                     | 1997 | 1997-11-26
 3 Ninjas: High Noon at Mega Mountain                                     | 1998 | 1998-06-18
 The Indian Runner                                                        | 1991 | 1991-09-20
 The Crossing Guard                                                       | 1995 | 1995-11-16
 Friday the 13th                                                          | 1980 | 1980-05-09
 Spring Break                                                             | 1983 | 1983-03-25
 The New Kids                                                             | 1985 | 1985-01-18
 DeepStar Six                                                             | 1989 | 1989-01-13
 Once Upon a Time in America                                              | 1984 | 1984-06-01
 Elizabeth                                                                | 1998 | 1999-02-19
 Lionheart                                                                | 1990 | 1991-01-11
 Double Impact                                                            | 1991 | 1991-08-09
 Only the Strong                                                          | 1993 | 1993-08-27
 Tetsuo II: Body Hammer                                                   | 1992 | 1997-08-15
 Turbo: A Power Rangers Movie                                             | 1997 | 1997-03-28
 The Entity                                                               | 1982 | 1983-02-04
 Purple Hearts                                                            | 1984 | 1984-08-31
 Iron Eagle                                                               | 1986 | 1986-01-17
 Superman IV: The Quest for Peace                                         | 1987 | 1987-07-24
 Iron Eagle II                                                            | 1988 | 1988-11-11
 The Taking of Beverly Hills                                              | 1991 | 1991-10-11
 Ladybugs                                                                 | 1992 | 1992-03-27
 Just Tell Me What You Want                                               | 1980 | 1980-01-18
 Prince of the City                                                       | 1981 | 1981-08-26
 The Verdict                                                              | 1982 | 1982-12-17
 Deathtrap                                                                | 1982 | 1982-03-19
 Daniel                                                                   | 1983 | 1984-02-10
 Garbo Talks                                                              | 1984 | 1984-10-12
 The Morning After                                                        | 1986 | 1986-12-25
 Power                                                                    | 1986 | 1986-01-31
 Running on Empty                                                         | 1988 | 1988-09-09
 Family Business                                                          | 1989 | 1989-12-15
 Q&A                                                                      | 1990 | 1990-04-27
 A Stranger Among Us                                                      | 1992 | 1992-07-17
 Guilty as Sin                                                            | 1993 | 1993-06-04
 Night Falls on Manhattan                                                 | 1996 | 1997-05-16
 Gloria                                                                   | 1999 | 1999-01-22
 Stir Crazy                                                               | 1980 | 1980-12-12
 Hanky Panky                                                              | 1982 | 1982-06-04
 Ghost Dad                                                                | 1990 | 1990-06-29
 Sudden Death                                                             | 1985 | 1985-09-13
 The Whistle Blower                                                       | 1986 | 1987-07-10
 Under Suspicion                                                          | 1991 | 1992-02-28
 Balto                                                                    | 1995 | 1995-12-22
 Con Air                                                                  | 1997 | 1997-06-06
 The General's Daughter                                                   | 1999 | 1999-06-18
 D.A.R.Y.L.                                                               | 1985 | 1985-06-14
 Quigley Down Under                                                       | 1990 | 1990-10-19
 Harley Davidson and the Marlboro Man                                     | 1991 | 1991-08-23
 Free Willy                                                               | 1993 | 1993-07-16
 Lightning Jack                                                           | 1994 | 1994-03-11
 Operation Dumbo Drop                                                     | 1995 | 1995-07-28
 The Phantom                                                              | 1996 | 1996-06-07
 Thursday                                                                 | 1998 | 1998-09-25
 Impulse                                                                  | 1990 | 1990-04-06
 Being John Malkovich                                                     | 1999 | 1999-12-03
 She's Gotta Have It                                                      | 1986 | 1986-08-08
 School Daze                                                              | 1988 | 1988-02-12
 Do the Right Thing                                                       | 1989 | 1989-07-21
 Mo' Better Blues                                                         | 1990 | 1990-08-03
 Jungle Fever                                                             | 1991 | 1991-06-07
 Malcolm X                                                                | 1992 | 1992-11-18
 Crooklyn                                                                 | 1994 | 1994-05-13
 Clockers                                                                 | 1995 | 1995-09-13
 Girl 6                                                                   | 1996 | 1996-03-22
 He Got Game                                                              | 1998 | 1998-05-01
 Summer of Sam                                                            | 1999 | 1999-07-02
 The Last Supper                                                          | 1995 | 1996-04-05
 Mr. Mom                                                                  | 1983 | 1983-08-19
 The Man with One Red Shoe                                                | 1985 | 1985-07-19
 She's Out of Control                                                     | 1989 | 1989-04-14
 Necessary Roughness                                                      | 1991 | 1991-09-27
 Beat Street                                                              | 1984 | 1984-06-08
 Pumpkinhead                                                              | 1988 | 1989-01-13
 Blame It on Rio                                                          | 1984 | 1984-02-17
 The Shining                                                              | 1980 | 1980-06-13
 Full Metal Jacket                                                        | 1987 | 1987-07-10
 Eyes Wide Shut                                                           | 1999 | 1999-07-16
 Supercop                                                                 | 1992 | 1992-07-04
 Rumble in the Bronx                                                      | 1995 | 1996-02-23
 First Strike                                                             | 1996 | 1997-01-10
 Mr. Magoo                                                                | 1997 | 1997-12-25
 The Adventures of Priscilla, Queen of the Desert                         | 1994 | 1994-08-10
 The Kindred                                                              | 1987 | 1987-01-30
 Killer Klowns from Outer Space                                           | 1988 | 1988-05-27
 Philadelphia Experiment II                                               | 1993 | 1994-06-04
 The Hit                                                                  | 1984 | 1985-03-08
 My Beautiful Laundrette                                                  | 1985 | 1986-04-04
 Prick Up Your Ears                                                       | 1987 | 1987-05-08
 Dangerous Liaisons                                                       | 1988 | 1989-02-24
 The Grifters                                                             | 1990 | 1991-01-25
 Hero                                                                     | 1992 | 1992-10-02
 Mary Reilly                                                              | 1996 | 1996-02-23
 The Van                                                                  | 1996 | 1997-05-16
 Certain Fury                                                             | 1985 | 1985-03-01
 Waterland                                                                | 1992 | 1992-10-30
 A Dangerous Woman                                                        | 1993 | 1993-12-03
 Losing Isaiah                                                            | 1995 | 1995-03-17
 Homegrown                                                                | 1998 | 1998-04-17
 Critters                                                                 | 1986 | 1986-04-11
 Bill & Ted's Excellent Adventure                                         | 1989 | 1989-02-17
 Don't Tell Mom the Babysitter's Dead                                     | 1991 | 1991-06-07
 The Mighty Ducks                                                         | 1992 | 1992-10-02
 The Three Musketeers                                                     | 1993 | 1993-11-12
 Mr. Holland's Opus                                                       | 1995 | 1996-01-19
 101 Dalmatians                                                           | 1996 | 1996-11-27
 Holy Man                                                                 | 1998 | 1998-10-09
 A Nightmare on Elm Street 5: The Dream Child                             | 1989 | 1989-08-11
 Predator 2                                                               | 1990 | 1990-11-21
 Judgment Night                                                           | 1993 | 1993-10-15
 Blown Away                                                               | 1994 | 1994-07-01
 The Ghost and the Darkness                                               | 1996 | 1996-10-11
 Lost in Space                                                            | 1998 | 1998-04-03
 The Last Time I Committed Suicide                                        | 1997 | 1997-06-20
 Vegas Vacation                                                           | 1997 | 1997-02-14
 Maximum Overdrive                                                        | 1986 | 1986-07-25
 South Central                                                            | 1992 | 1992-09-18
 Death Machine                                                            | 1994 | 1995-05-26
 Blade                                                                    | 1998 | 1998-08-21
 Close My Eyes                                                            | 1991 | 1991-11-22
 The Adventures of Huck Finn                                              | 1993 | 1993-04-02
 The Jungle Book                                                          | 1994 | 1994-12-25
 Deep Rising                                                              | 1998 | 1998-01-30
 The Mummy                                                                | 1999 | 1999-05-07
 Wayne's World 2                                                          | 1993 | 1993-12-10
 Electric Dreams                                                          | 1984 | 1984-07-20
 Teenage Mutant Ninja Turtles                                             | 1990 | 1990-03-30
 Coneheads                                                                | 1993 | 1993-07-23
 The Adventures of Pinocchio                                              | 1996 | 1996-07-26
 Meet the Deedles                                                         | 1998 | 1998-03-27
 Trees Lounge                                                             | 1996 | 1996-10-11
 An Eye for an Eye                                                        | 1981 | 1981-08-14
 Lone Wolf McQuade                                                        | 1983 | 1983-04-15
 River of Death                                                           | 1989 | 1989-09-29
 Cherry 2000                                                              | 1987 | 1988-02-05
 Miracle Mile                                                             | 1988 | 1989-05-19
 Barney's Great Adventure                                                 | 1998 | 1998-04-03
 Arthur                                                                   | 1981 | 1981-07-17
 Prefontaine                                                              | 1997 | 1997-01-24
 The Fabulous Baker Boys                                                  | 1989 | 1989-10-13
 Flesh and Bone                                                           | 1993 | 1993-11-05
 Friday the 13th Part 2                                                   | 1981 | 1981-05-01
 Friday the 13th Part III                                                 | 1982 | 1982-08-13
 House                                                                    | 1985 | 1986-02-28
 Soul Man                                                                 | 1986 | 1986-10-24
 Warlock                                                                  | 1989 | 1991-01-11
 Wild Hearts Can't Be Broken                                              | 1991 | 1991-05-24
 Forever Young                                                            | 1992 | 1992-12-16
 My Father the Hero                                                       | 1994 | 1994-02-04
 Halloween H20: 20 Years Later                                            | 1998 | 1998-08-05
 Lake Placid                                                              | 1999 | 1999-07-16
 Ace Ventura: When Nature Calls                                           | 1995 | 1995-11-10
 Nothing to Lose                                                          | 1997 | 1997-07-18
 Under the Rainbow                                                        | 1981 | 1981-07-31
 Can't Buy Me Love                                                        | 1987 | 1987-08-14
 Queens Logic                                                             | 1991 | 1991-02-01
 Son in Law                                                               | 1993 | 1993-07-02
 Eddie                                                                    | 1996 | 1996-05-31
 Feeling Minnesota                                                        | 1996 | 1996-09-13
 Heavyweights                                                             | 1995 | 1995-02-17
 Street Fighter                                                           | 1994 | 1994-12-23
 Starchaser: The Legend of Orin                                           | 1985 | 1985-11-22
 The Devil and Max Devlin                                                 | 1981 | 1981-03-06
 Stealing Home                                                            | 1988 | 1988-08-26
 Tron                                                                     | 1982 | 1982-07-09
 Hot Pursuit                                                              | 1987 | 1987-05-08
 On Deadly Ground                                                         | 1994 | 1994-02-18
 Sex, Lies, and Videotape                                                 | 1989 | 1989-09-22
 Kafka                                                                    | 1991 | 1991-11-15
 King of the Hill                                                         | 1993 | 1993-08-20
 The Underneath                                                           | 1995 | 1995-04-28
 Schizopolis                                                              | 1996 | 1997-04-09
 Out of Sight                                                             | 1998 | 1998-06-26
 The Limey                                                                | 1999 | 1999-08-04
 Indiana Jones and the Raiders of the Lost Ark                            | 1981 | 1981-06-12
 E.T. the Extra-Terrestrial                                               | 1982 | 1982-06-11
 Indiana Jones and the Temple of Doom                                     | 1984 | 1984-05-23
 The Color Purple                                                         | 1985 | 1986-02-07
 Empire of the Sun                                                        | 1987 | 1987-12-25
 Indiana Jones and the Last Crusade                                       | 1989 | 1989-05-24
 Always                                                                   | 1989 | 1989-12-22
 Hook                                                                     | 1991 | 1991-12-11
 Jurassic Park                                                            | 1993 | 1993-06-11
 Schindler's List                                                         | 1993 | 1994-02-04
 The Lost World: Jurassic Park                                            | 1997 | 1997-05-23
 Amistad                                                                  | 1997 | 1997-12-25
 Saving Private Ryan                                                      | 1998 | 1998-07-24
 Searching for Bobby Fischer                                              | 1993 | 1993-08-11
 A Civil Action                                                           | 1998 | 1999-01-08
 The Philadelphia Experiment                                              | 1984 | 1984-08-03
 The Ice Pirates                                                          | 1984 | 1984-03-16
 Mac and Me                                                               | 1988 | 1988-08-12
 Mannequin: on the Move                                                   | 1991 | 1991-05-17
 Executive Decision                                                       | 1996 | 1996-03-15
 U.S. Marshals                                                            | 1998 | 1998-03-06
 Paradise                                                                 | 1982 | 1982-05-07
 Teenage Mutant Ninja Turtles III                                         | 1993 | 1993-03-19
 RocketMan                                                                | 1997 | 1997-10-10
 Re-Animator                                                              | 1985 | 1985-10-18
 From Beyond                                                              | 1986 | 1986-10-24
 Robot Jox                                                                | 1989 | 1990-11-21
 The Pit and the Pendulum                                                 | 1991 | 1991-04-01
 Fortress                                                                 | 1992 | 1993-09-03
 The Puppet Masters                                                       | 1994 | 1994-10-21
 Brubaker                                                                 | 1980 | 1980-06-20
 The Pope of Greenwich Village                                            | 1984 | 1984-06-22
 Desperately Seeking Susan                                                | 1985 | 1985-04-12
 Making Mr. Right                                                         | 1987 | 1987-04-03
 She-Devil                                                                | 1989 | 1989-12-08
 Cookie                                                                   | 1989 | 1989-08-23
 Female Perversions                                                       | 1996 | 1997-04-25
 Absence of Malice                                                        | 1981 | 1981-12-18
 Tootsie                                                                  | 1982 | 1982-12-17
 Out of Africa                                                            | 1985 | 1985-12-20
 Havana                                                                   | 1990 | 1990-12-14
 The Firm                                                                 | 1993 | 1993-06-30
 Sabrina                                                                  | 1995 | 1995-12-15
 Random Hearts                                                            | 1999 | 1999-10-08
 Rocky III                                                                | 1982 | 1982-05-28
 Staying Alive                                                            | 1983 | 1983-07-15
 Rocky IV                                                                 | 1985 | 1985-11-27
 Beastmaster 2: Through the Portal of Time                                | 1991 | 1991-08-30
 Last of the Dogmen                                                       | 1995 | 1995-09-08
 Violent Cop                                                              | 1989 | 1999-07-16
 Boiling Point                                                            | 1990 | 1999-11-19
 Fireworks                                                                | 1997 | 1998-03-20
 The Allnighter                                                           | 1987 | 1987-05-01
 Slums of Beverly Hills                                                   | 1998 | 1998-09-11
 Guncrazy                                                                 | 1992 | 1993-09-09
 CB4                                                                      | 1993 | 1993-03-12
 Billy Madison                                                            | 1995 | 1995-02-10
 Half Baked                                                               | 1998 | 1998-01-16
 An Officer and a Gentleman                                               | 1982 | 1982-08-13
 Against All Odds                                                         | 1984 | 1984-03-02
 White Nights                                                             | 1985 | 1985-12-06
 Everybody's All-American                                                 | 1988 | 1988-11-04
 Blood In, Blood Out                                                      | 1993 | 1993-04-30
 Dolores Claiborne                                                        | 1995 | 1995-03-24
 The Devil's Advocate                                                     | 1997 | 1997-10-17
 The Black Cauldron                                                       | 1985 | 1985-07-24
 The Ref                                                                  | 1994 | 1994-03-11
 Beautiful Girls                                                          | 1996 | 1996-02-09
 Life                                                                     | 1999 | 1999-04-16
 First Blood                                                              | 1982 | 1982-10-22
 Split Image                                                              | 1982 | 1982-10-03
 Uncommon Valor                                                           | 1983 | 1983-12-16
 Joshua Then and Now                                                      | 1985 | 1985-09-20
 Switching Channels                                                       | 1988 | 1988-03-04
 Weekend at Bernie's                                                      | 1989 | 1989-07-05
 Winter People                                                            | 1989 | 1989-04-14
 Folks!                                                                   | 1992 | 1992-05-01
 TerrorVision                                                             | 1986 | 1986-02-14
 Repentance                                                               | 1984 | 1987-05-18
 Distant Voices, Still Lives                                              | 1988 | 1988-11-16
 The Long Day Closes                                                      | 1992 | 1993-05-28
 Inchon                                                                   | 1981 | 1982-09-17
 The Thin Red Line                                                        | 1998 | 1999-01-15
 Slayground                                                               | 1983 | 1984-02-01
 Time Bandits                                                             | 1981 | 1981-11-06
 Brazil                                                                   | 1985 | 1985-12-18
 The Adventures of Baron Munchausen                                       | 1988 | 1989-03-10
 The Fisher King                                                          | 1991 | 1991-09-27
 12 Monkeys                                                               | 1995 | 1996-01-05
 Fear and Loathing in Las Vegas                                           | 1998 | 1998-05-22
 The Butcher's Wife                                                       | 1991 | 1991-10-25
 The Meaning of Life                                                      | 1983 | 1983-03-31
 Personal Services                                                        | 1987 | 1987-05-15
 Erik the Viking                                                          | 1989 | 1989-09-22
 Death Before Dishonor                                                    | 1987 | 1987-02-20
 Love Jones                                                               | 1997 | 1997-03-14
 To vlemma tou Odyssea                                                    | 1995 | 1997-11-01
 Eternity and a Day                                                       | 1998 | 1999-05-28
 The Terror Within                                                        | 1989 | 1989-01-20
 Night of the Comet                                                       | 1984 | 1984-11-16
 Without a Clue                                                           | 1988 | 1988-10-21
 Gross Anatomy                                                            | 1989 | 1989-10-20
 Captain Ron                                                              | 1992 | 1992-09-18
 Swing Kids                                                               | 1993 | 1993-03-05
 Metro                                                                    | 1997 | 1997-01-17
 No Holds Barred                                                          | 1989 | 1989-06-02
 Knockin' on Heaven's Door                                                | 1997 | 1997-02-20
 Things Are Tough All Over                                                | 1982 | 1982-08-04
 Quicksilver                                                              | 1986 | 1986-02-14
 The River Rat                                                            | 1984 | 1984-09-28
 Miss Firecracker                                                         | 1989 | 1990-01-19
 So I Married an Axe Murderer                                             | 1993 | 1993-07-30
 The Celebration                                                          | 1998 | 1998-06-19
 Trading Mom                                                              | 1994 | 1994-05-13
