Find the movies released before January 1st, 2000?
select M.name,M.year,R.date from movies M join released R on M.movie_id=R.movie_id where R.date<2000-01-01;
                                   name                                   | year |    date    
 Disclosure                                                               | 1994 | 1994-12-09
 Jimmy Hollywood                                                          | 1994 | 1994-03-30
 Sleepers                                                                 | 1996 | 1996-10-18
 Wag the Dog                                                              | 1997 | 1998-01-09
 Sphere                                                                   | 1998 | 1998-02-13
 Liberty Heights                                                          | 1999 | 1999-12-31
 Mistress                                                                 | 1992 | 1992-07-24
 The Addams Family                                                        | 1991 | 1991-11-22
 Addams Family Values                                                     | 1993 | 1993-11-19
 For Love or Money                                                        | 1993 | 1993-10-01
 Get Shorty                                                               | 1995 | 1995-10-20
 Men in Black                                                             | 1997 | 1997-07-02
 Wild Wild West                                                           | 1999 | 1999-06-30
 Strictly Ballroom                                                        | 1992 | 1993-02-12
 Romeo + Juliet                                                           | 1996 | 1996-11-01
 To Wong Foo Thanks for Everything, Julie Newmar                          | 1995 | 1995-09-08
 Swept from the Sea                                                       | 1997 | 1998-01-23
 The Idiots                                                               | 1998 | 1998-05-21
 The Big Town                                                             | 1987 | 1987-09-25
 Reality Bites                                                            | 1994 | 1994-02-18
 The Cable Guy                                                            | 1996 | 1996-06-14
 La fille seule                                                           | 1995 | 1996-10-30
 Rainbow Brite and the Star Stealer                                       | 1985 | 1985-11-15
 Here Come the Littles                                                    | 1985 | 1985-05-24
 Paperhouse                                                               | 1988 | 1989-02-17
 Candyman                                                                 | 1992 | 1992-10-16
 Immortal Beloved                                                         | 1994 | 1995-01-27
 Anna Karenina                                                            | 1997 | 1997-04-04
 The Last Emperor                                                         | 1987 | 1988-04-15
 The Sheltering Sky                                                       | 1990 | 1990-12-12
 Little Buddha                                                            | 1993 | 1994-05-25
 Stealing Beauty                                                          | 1996 | 1996-06-14
 Besieged                                                                 | 1998 | 1999-02-05
 Mindwalk                                                                 | 1990 | 1991-12-20
 MÃ©nage                                                                  | 1986 | 1986-10-01
 Too Beautiful for You                                                    | 1989 | 1990-04-01
 A Sunday in the Country                                                  | 1984 | 1984-04-11
 'Round Midnight                                                          | 1986 | 1986-10-03
 Of Love and Shadows                                                      | 1994 | 1996-05-10
 The Brady Bunch Movie                                                    | 1995 | 1995-02-17
 Private Parts                                                            | 1997 | 1997-03-07
 Doctor Dolittle                                                          | 1998 | 1998-06-26
 Anguish                                                                  | 1987 | 1988-01-08
 JamÃ³n, JamÃ³n                                                           | 1992 | 1994-02-04
 Two If by Sea                                                            | 1996 | 1996-01-12
 Sister, Sister                                                           | 1987 | 1988-02-09
 Candyman: Farewell to the Flesh                                          | 1995 | 1995-03-17
 Gods and Monsters                                                        | 1998 | 1998-11-04
 Ed                                                                       | 1996 | 1996-03-15
 A Rage in Harlem                                                         | 1991 | 1991-05-03
 Deep Cover                                                               | 1992 | 1992-04-15
 Sister Act 2: Back in the Habit                                          | 1993 | 1993-12-10
 Hoodlum                                                                  | 1997 | 1997-08-27
 Tapeheads                                                                | 1988 | 1988-10-21
 Local Hero                                                               | 1983 | 1983-03-17
 Comfort and Joy                                                          | 1984 | 1984-10-10
 Housekeeping                                                             | 1987 | 1988-02-05
 Breaking In                                                              | 1989 | 1989-10-13
 Being Human                                                              | 1994 | 1994-05-06
 Return to Horror High                                                    | 1987 | 1987-02-20
 FernGully: The Last Rainforest                                           | 1992 | 1992-04-10
 Bon Voyage, Charlie Brown (and Don't Come Back!!)                        | 1980 | 1980-05-30
 Baby: Secret of the Lost Legend                                          | 1985 | 1985-03-22
 Three for the Road                                                       | 1987 | 1987-07-24
 Serial                                                                   | 1980 | 1980-03-28
 Parting Glances                                                          | 1986 | 1986-02-19
 Pelle the Conqueror                                                      | 1987 | 1988-12-21
 The Best Intentions                                                      | 1992 | 1992-07-10
 The House of the Spirits                                                 | 1993 | 1994-04-01
 Smilla's Sense of Snow                                                   | 1997 | 1997-02-28
 Les MisÃ©rables                                                          | 1998 | 1998-05-01
 Sling Blade                                                              | 1996 | 1997-03-14
 Mr. Saturday Night                                                       | 1992 | 1992-09-25
 Forget Paris                                                             | 1995 | 1995-05-19
 Josh and S.A.M.                                                          | 1993 | 1993-11-24
 Buddy Buddy                                                              | 1981 | 1981-12-11
 S.O.B.                                                                   | 1981 | 1981-07-01
 Victor Victoria                                                          | 1982 | 1982-03-19
 Trail of the Pink Panther                                                | 1982 | 1982-12-17
 Curse of the Pink Panther                                                | 1983 | 1983-08-12
 The Man Who Loved Women                                                  | 1983 | 1983-12-16
 Micki + Maude                                                            | 1984 | 1984-12-21
 A Fine Mess                                                              | 1986 | 1986-08-08
 That's Life!                                                             | 1986 | 1986-10-10
 Blind Date                                                               | 1987 | 1987-03-27
 Sunset                                                                   | 1988 | 1988-04-29
 Skin Deep                                                                | 1989 | 1989-03-03
 Switch                                                                   | 1991 | 1991-05-10
 Son of the Pink Panther                                                  | 1993 | 1993-08-27
 The Last American Virgin                                                 | 1982 | 1982-07-30
 Fresh                                                                    | 1994 | 1994-09-02
 Parents                                                                  | 1989 | 1989-01-27
 My Boyfriend's Back                                                      | 1993 | 1993-08-06
 Porky's                                                                  | 1981 | 1982-03-19
 A Christmas Story                                                        | 1983 | 1983-11-18
 Porky's II: The Next Day                                                 | 1983 | 1983-06-24
 Rhinestone                                                               | 1984 | 1984-06-22
 Turk 182                                                                 | 1985 | 1985-02-15
 From the Hip                                                             | 1987 | 1987-02-06
 Loose Cannons                                                            | 1990 | 1990-02-09
 My Summer Story                                                          | 1994 | 1994-09-23
 Baby Geniuses                                                            | 1999 | 1999-03-12
 Star 80                                                                  | 1983 | 1984-02-03
 Hiding Out                                                               | 1987 | 1987-11-06
 DuckTales the Movie: Treasure of the Lost Lamp                           | 1990 | 1990-08-03
 Plump Fiction                                                            | 1997 | 1997-05-23
 Repossessed                                                              | 1990 | 1990-09-14
 The Postman Always Rings Twice                                           | 1981 | 1981-03-20
 Black Widow                                                              | 1987 | 1987-02-06
 Mountains of the Moon                                                    | 1990 | 1990-02-23
 Man Trouble                                                              | 1992 | 1992-07-17
 Blood and Wine                                                           | 1996 | 1997-02-21
 Dirty Work                                                               | 1998 | 1998-06-12
 Spice World                                                              | 1997 | 1998-01-23
 That Darn Cat                                                            | 1997 | 1997-02-14
 Half Moon Street                                                         | 1986 | 1986-09-26
 Masquerade                                                               | 1988 | 1988-03-11
 Playing for Keeps                                                        | 1986 | 1986-10-03
 Kingpin                                                                  | 1996 | 1996-07-26
 There's Something About Mary                                             | 1998 | 1998-07-15
 Heartbreakers                                                            | 1984 | 1984-09-28
