List all the directors that have directed ‘Action’ movies.
SELECT first, last, title, name, genre FROM movies natural join directed natural join casts WHERE genre = Action;
        first        |       last       | title |                           name                           | genre  
 Duncan              | Gibbins          |       | Eve of Destruction                                       | Action
 Duncan              | Jones            |       | Source Code                                              | Action
 Duncan              | Jones            |       | Warcraft                                                 | Action
 Dwight H.           | Little           |       | Marked for Death                                         | Action
 Dwight H.           | Little           |       | Rapid Fire                                               | Action
 Dwight H.           | Little           |       | Murder at 1600                                           | Action
 Dwight H.           | Little           |       | Anacondas: The Hunt for the Blood Orchid                 | Action
 Ed                  | Harris           |       | Appaloosa                                                | Action
 Edgar               | Wright           |       | Hot Fuzz                                                 | Action
 Edgar               | Wright           |       | Scott Pilgrim vs. the World                              | Action
 Edgar               | Wright           |       | Baby Driver                                              | Action
 Edward              | Zwick            |       | Courage Under Fire                                       | Action
